time_stamp,tweet_text,url
2019-09-12 23:59:17,"RT @HumanistReport: We're rooting for ya, Bernie. Make us proud. #DemocraticDebate https://t.co/PNzqRgHlab",[]
2019-09-12 23:59:17,"RT @BenDecker: Set an alarm on your phone! @marwilliamson will be live-streaming #bigtruth tonight right after the #demdebate from Twitter,…",[]
2019-09-12 23:59:17,The ABC analysts for tonight's #DemocraticDebate are really forgetting to emphasize the importance of the running game during the pre-show.,[]
2019-09-12 23:59:17,Delaney is not in the debate my bad. Hahaha #DemocraticDebate,[]
2019-09-12 23:59:17,"#DemocraticDebate
The Read Deal https://t.co/mkJwRiJKzC",[]
2019-09-12 23:59:16,"RT @commondreams: Ahead of Thursday night's #DemocraticDebate, @BernieSanders  was the first candidate to sign @foodandwater 's pledge prom…",[]
2019-09-12 23:59:16,"RT @KyleKulinski: Turned on ABC News and the first thing I hear is ""this debate is not about policy specifics, it's about energy"". These id…",[]
2019-09-12 23:59:16,Biting my nails waiting to find out of Joe Biden can remember his own name tonight. #DemocraticDebate,[]
2019-09-12 23:59:15,Follow all civilized world and have universal health care system! #MedicareForAll  #DemocraticDebate,[]
2019-09-12 23:59:15,"RT @MomsDemand: Tonight, ten presidential hopefuls—all of whom received our 2020 Presidential Gun Sense Candidate distinction—will take the…",[]
2019-09-12 23:59:15,"RT @cmclymer: This is the worst White House for LGBTQ equality in modern history, and I would really love for the moderators from @ABCNews…",[]
2019-09-12 23:59:15,Kamala Harris is own her last legs in the race she’s needs to go hard tonight #DemocraticDebate,[]
2019-09-12 23:59:15,"RT @TrumpStudents: Who’s ready for tonight’s Democratic Clown Show Debate?

You’re guaranteed to hear about:

- Socialism,

- Open Borders,…",[]
2019-09-12 23:59:13,The #DemocraticDebate is about to start. Who’s tuning in? https://t.co/azou69JSKr,"[{'url': 'https://t.co/azou69JSKr', 'expanded_url': 'https://twitter.com/washingtonpost/status/1172297852506144770', 'display_url': 'twitter.com/washingtonpost…', 'indices': [58, 81]}]"
2019-09-12 23:59:13,"RT @BoldProgressive: Great pre-#DemocraticDebate read. @MattStoller's reaction: ""This is why a lot of liberal insiders trust @ewarren to ta…",[]
2019-09-12 23:59:12,@marynewmanphoto You all know he has a criminal record right!#DemocraticDebate #2020Election,[]
2019-09-12 23:59:12,"RT @PatTheBerner: 🔥#DemocraticDebate 🔥
Nina Turner cuts to the chase. Without a movement, we'll never get the big things done like Medicare…",[]
